Character,Universe
Aang,Avatar: The Last Airbender
Abraham Lincoln,Historical / Real World
Achilles,Historical / Real World
Adam Warlock,Marvel
Adult Gon Freecss,Hunter x Hunter
Agent Smith,The Matrix
Ahsoka Tano,Star Wars
Ainz Ooal Gown,Overlord
Akaza,Demon Slayer
Akira Fudo (Devilman),Devilman
Aku,Samurai Jack
Akuma,Street Fighter
Aladdin,Disney
Alastor Moody,Harry Potter
Albert Einstein,Historical / Real World
Albert Wesker,Resident Evil
Alex Mercer,Prototype
Alexander the Great,Historical / Real World
Alien Queen,Horror
Alita,Alita: Battle Angel
All For One,My Hero Academia
All Might,My Hero Academia
Aloy,Horizon
Alucard,Hellsing
Amadeus Cho Hulk,Marvel
Amazo,DC
America Chavez,Marvel
Anakin Skywalker,Star Wars
Andrew Jackson,Historical / Real World
Andrew Johnson,Historical / Real World
Animal Man,DC
Anna,Disney
Annihilus,Marvel
Anos Voldigoad,The Misfit of Demon King Academy
Ant-Man,Marvel
Antares,Solo Leveling
Anti-Monitor,DC
Anti-Spiral,Gurren Lagann
Anton Chigurh,The Big Lebowski / Crime Film
Apocalypse,Marvel
Aqualad,DC
Aquaman,DC
Aragorn,Lord of the Rings
Arbiter,Halo
Arceus,Pokemon
Archer Gilgamesh,Fate
Ares,DC
Ariel,Disney
Arm-Fall-Off-Boy,DC
Arnold Schwarzenegger,Historical / Real World
Arsenal,DC
Arthas Menethil,Warcraft
Arthur Boyle,Fire Force
Arthur Morgan,Needs Review / Unknown
Asajj Ventress,Star Wars
Ash Williams,Needs Review / Unknown
Ashoka the Great,Historical / Real World
Asta,Black Clover
Asura,Asura's Wrath
Atom Eve,DC
Atrocitus,DC
Attila the Hun,Historical / Real World
Aurelion Sol,League of Legends
Axel Foley,Beverly Hills Cop
Azrael,DC
Azula,Avatar: The Last Airbender
Babur,Historical / Real World
Baki Hanma,Baki
Baloo,Disney
Ban,Seven Deadly Sins
Bane,Lord of the Rings
Barack Obama,Historical / Real World
Batgirl,DC
Batman,DC
Battle Beast,Invincible
Batwoman,DC
Baymax,Disney
Bayonetta,Bayonetta
Beast,Elden Ring
Beast Boy,DC
Bec,Darren Shan Saga
Beelzemon,Digimon
Beerus,Dragon Ball
Beetlejuice,Horror
Bellatrix Lestrange,Harry Potter
Bellwether,Disney
Benjamin Harrison,Historical / Real World
Beowulf,Historical / Real World
Beranabus,Darren Shan Saga
Beta Ray Bill,Marvel
Big Barda,DC
Bilbo Baggins,Lord of the Rings
Bill Cipher,Gravity Falls
Bill Clinton,Historical / Real World
Billy Butcher,The Boys
Bishop,Marvel
Black Adam,DC
Black Bolt,Marvel
Black Canary,DC
Black Hand,DC
Black Lightning,DC
Black Manta,DC
Black Panther,Marvel
Black Racer,DC
Black Widow,Marvel
BlackWarGreymon,Digimon
Blackheart,Marvel
Blade,Elden Ring
Blastoise,Pokemon
Blue Beetle,DC
Blue Beetle (Ted Kord),DC
Blue Hulk,Marvel
Blue Marvel,Marvel
Boba Fett,Star Wars
Booster Gold,DC
Boudicca,Historical / Real World
Bowser,Mario
Brainiac,DC
Brienne of Tarth,Game of Thrones
Broly,Dragon Ball
Bronze Tiger,DC
Bruce Lee,Historical / Real World
Bryan Mills,Taken
Bugs Bunny,Looney Tunes
Bumblebee,Transformers
Buzz Lightyear,Disney
Byakuya Kuchiki,Bleach
Cable,Marvel
Calendar Man,DC
Calvin Coolidge,Historical / Real World
Cammy,Street Fighter
Captain Amelia,Treasure Planet
Captain America,Marvel
Captain Atom,DC
Captain Barbossa,Pirates of the Caribbean
Captain Cold,DC
Captain Gantu,Disney
Captain Hook,Disney
Captain Marvel,Marvel
Captain Rex,Star Wars
Carnage,Marvel
Casey Jones,Teenage Mutant Ninja Turtles
Casey Ryback,Under Siege
Cassandra Cain,DC
