Character,Universe
Finn the Human,Adventure Time
Jake the Dog,Adventure Time
The Lich,Adventure Time
Tetsuo Shima,Akira
Ellen Ripley,Alien
Ellen Ripley (Power Loader),Alien
Alita,Alita: Battle Angel
Aizen (Final Form),Anime
Akaza (Upper Moon 3),Anime
Annie Leonhart,Anime
Beerus (God),Anime
Big Mom (Full Power),Anime
Broly (Full Power),Anime
Byakuya (Bankai),Anime
Chrollo,Anime
Eren (Attack Titan),Anime
Garou (Monster),Anime
Genos (Upgrade),Anime
Goku (Ultra Instinct),Anime
Gon (Adult Form),Anime
Hisoka,Anime
Ichigo (Bankai),Anime
Jiren (Full Power),Anime
Jogo,Anime
Kaido (Hybrid),Anime
Kakashi (DMS),Anime
Kenpachi (Bankai),Anime
Kokushibo (Upper Moon 1),Anime
Kurapika,Anime
Levi (Prime),Anime
Luffy (Gear 5),Anime
Madara (Ten Tails),Anime
Mahito,Anime
Megumi Fushiguro,Anime
Mikasa (Ackerman),Anime
Naruto (Six Paths),Anime
Obito (Ten Tails),Anime
Reiner Braun,Anime
Saitama (Serious Punch),Anime
Sanji (Ifrit Jambe),Anime
Sasuke (Six Paths),Anime
Shanks (Haki Master),Anime
Tanjiro (Demon King),Anime
Vegeta (Ultra Ego),Anime
Whis (Angel),Anime
Whitebeard (Prime),Anime
Yuji Itadori,Anime
Zeke Yeager,Anime
Zoro (Enma),Anime
Ezio Auditore da Firenze,Assassin's Creed
Asura,Asura's Wrath
Armin Arlert,Attack on Titan
Eren Yeager,Attack on Titan
Levi Ackerman,Attack on Titan
Mikasa Ackerman,Attack on Titan
Aang,Avatar: The Last Airbender
Azula,Avatar: The Last Airbender
Fire,Avatar: The Last Airbender
Fire Lord Ozai,Avatar: The Last Airbender
Katara,Avatar: The Last Airbender
Toph Beifong,Avatar: The Last Airbender
Zuko,Avatar: The Last Airbender
Baki Hanma,Baki
Jack Hanma,Baki
Pickle,Baki
Retsu Kaioh,Baki
Yujiro Hanma,Baki
Bayonetta,Bayonetta
Axel Foley,Beverly Hills Cop
Jack Burton,Big Trouble in Little China
Asta,Black Clover
Yuno,Black Clover
Rick Deckard,Blade Runner
Roy Batty,Blade Runner
Byakuya Kuchiki,Bleach
Genryusai Yamamoto,Bleach
Ichibei Hyosube,Bleach
Ichigo Kurosaki,Bleach
Kenpachi Zaraki,Bleach
Kisuke Urahara,Bleach
Sosuke Aizen,Bleach
Toshiro Hitsugaya,Bleach
Ulquiorra Cifer,Bleach
Yhwach,Bleach
Yoruichi Shihoin,Bleach
Yoshimura,Bleach / Anime
Gehrman,Bloodborne
Lady Maria,Bloodborne
Moon Presence,Bloodborne
The Hunter (Bloodborne),Bloodborne
Boruto Uzumaki,Boruto
Momoshiki,Boruto
Jason Bourne,Bourne
Canelo Alvarez,Boxing
Evander Holyfield,Boxing
Floyd Mayweather,Boxing
George Foreman,Boxing
Joe Frazier,Boxing
Manny Pacquiao,Boxing
Rocky Marciano,Boxing
Tyson Fury,Boxing
Walter White,Breaking Bad
Ghost (Simon Riley),Call of Duty
Aku (CN),Cartoon Network
Alien X,Cartoon Network
Ben Tennyson,Cartoon Network
Billy,Cartoon Network
Blossom,Cartoon Network
Bubbles,Cartoon Network
Buttercup,Cartoon Network
Courage,Cartoon Network
Dexter (Dexter's Lab),Cartoon Network
Ed,Cartoon Network
Edd,Cartoon Network
Eddy,Cartoon Network
Eustace Bagge,Cartoon Network
Grim,Cartoon Network
Gwen Tennyson,Cartoon Network
HIM,Cartoon Network
Kevin Levin,Cartoon Network
Mandark,Cartoon Network
Mandy,Cartoon Network
Mojo Jojo,Cartoon Network
Muriel Bagge,Cartoon Network
Numbuh Five,Cartoon Network
Numbuh One,Cartoon Network
Powerpuff Girls,Cartoon Network
Vilgax,Cartoon Network
Denji,Chainsaw Man
Denji (Chainsaw Devil),Chainsaw Man
Makima,Chainsaw Man
Pochita,Chainsaw Man
Power,Chainsaw Man
Lelouch vi Britannia,Code Geass
Vincent (Collateral),Collateral
Anti-Monitor (Crisis),Comics
Batman (Hellbat Suit),Comics
Black Adam (Magic Form),Comics
Darkseid (True Form),Comics
Death (Marvel),Comics
Doctor Doom (God Emperor),Comics
Doctor Manhattan (Watchmen),Comics
Eternity,Comics
Flash (Wally West Full Speed),Comics
Galactus (Lifebringer),Comics
