Marvel,DC
Spider-Man,Batman
Iron Man,Superman
Captain America,Wonder Woman
Thor,Flash
Hulk,Aquaman
Wolverine,Green Lantern
Deadpool,Cyborg
Black Panther,Nightwing
Doctor Strange,Batgirl
Scarlet Witch,Robin
Captain Marvel,Joker
Daredevil,Harley Quinn
Punisher,Lex Luthor
Ghost Rider,Darkseid
Venom,Doomsday
Carnage,Deathstroke
Magneto,Raven
Loki,Starfire
Thanos,Beast Boy
Ultron,Constantine
Green Goblin,Shazam
Doctor Doom,Black Adam
Galactus,Green Arrow
Silver Surfer,Hawkgirl
Jean Grey,Martian Manhunter
Storm,Supergirl
Cyclops,Zatanna
Rogue,Bane
Gambit,Scarecrow
Nightcrawler,Penguin
Colossus,Two-Face
Beast,Riddler
Iceman,Poison Ivy
Emma Frost,Brainiac
Mystique,Sinestro
Sabretooth,Reverse Flash
Juggernaut,Blue Beetle
Apocalypse,Booster Gold
Mr Fantastic,Swamp Thing
Invisible Woman,Batman Variant 39
Human Torch,Superman Variant 40
Thing,Wonder Woman Variant 41
Namor,Flash Variant 42
Moon Knight,Aquaman Variant 43
Blade,Green Lantern Variant 44
Spider-Man Variant 45,Cyborg Variant 45
Iron Man Variant 46,Nightwing Variant 46
Captain America Variant 47,Batgirl Variant 47
Thor Variant 48,Robin Variant 48
Hulk Variant 49,Joker Variant 49
Wolverine Variant 50,Harley Quinn Variant 50
Deadpool Variant 51,Lex Luthor Variant 51
Black Panther Variant 52,Darkseid Variant 52
Doctor Strange Variant 53,Doomsday Variant 53
Scarlet Witch Variant 54,Deathstroke Variant 54
Captain Marvel Variant 55,Raven Variant 55
Daredevil Variant 56,Starfire Variant 56
Punisher Variant 57,Beast Boy Variant 57
Ghost Rider Variant 58,Constantine Variant 58
Venom Variant 59,Shazam Variant 59
Carnage Variant 60,Black Adam Variant 60
Magneto Variant 61,Green Arrow Variant 61
Loki Variant 62,Hawkgirl Variant 62
Thanos Variant 63,Martian Manhunter Variant 63
Ultron Variant 64,Supergirl Variant 64
Green Goblin Variant 65,Zatanna Variant 65
Doctor Doom Variant 66,Bane Variant 66
Galactus Variant 67,Scarecrow Variant 67
Silver Surfer Variant 68,Penguin Variant 68
Jean Grey Variant 69,Two-Face Variant 69
Storm Variant 70,Riddler Variant 70
Cyclops Variant 71,Poison Ivy Variant 71
Rogue Variant 72,Brainiac Variant 72
Gambit Variant 73,Sinestro Variant 73
Nightcrawler Variant 74,Reverse Flash Variant 74
Colossus Variant 75,Blue Beetle Variant 75
Beast Variant 76,Booster Gold Variant 76
Iceman Variant 77,Swamp Thing Variant 77
Emma Frost Variant 78,Batman Variant 78
Mystique Variant 79,Superman Variant 79
Sabretooth Variant 80,Wonder Woman Variant 80
Juggernaut Variant 81,Flash Variant 81
Apocalypse Variant 82,Aquaman Variant 82
Mr Fantastic Variant 83,Green Lantern Variant 83
Invisible Woman Variant 84,Cyborg Variant 84
Human Torch Variant 85,Nightwing Variant 85
Thing Variant 86,Batgirl Variant 86
Namor Variant 87,Robin Variant 87
Moon Knight Variant 88,Joker Variant 88
Blade Variant 89,Harley Quinn Variant 89
Spider-Man Variant 90,Lex Luthor Variant 90
Iron Man Variant 91,Darkseid Variant 91
Captain America Variant 92,Doomsday Variant 92
Thor Variant 93,Deathstroke Variant 93
Hulk Variant 94,Raven Variant 94
Wolverine Variant 95,Starfire Variant 95
Deadpool Variant 96,Beast Boy Variant 96
Black Panther Variant 97,Constantine Variant 97
Doctor Strange Variant 98,Shazam Variant 98
Scarlet Witch Variant 99,Black Adam Variant 99
Captain Marvel Variant 100,Green Arrow Variant 100
Daredevil Variant 101,Hawkgirl Variant 101
Punisher Variant 102,Martian Manhunter Variant 102
Ghost Rider Variant 103,Supergirl Variant 103
Venom Variant 104,Zatanna Variant 104
Carnage Variant 105,Bane Variant 105
Magneto Variant 106,Scarecrow Variant 106
Loki Variant 107,Penguin Variant 107
Thanos Variant 108,Two-Face Variant 108
Ultron Variant 109,Riddler Variant 109
Green Goblin Variant 110,Poison Ivy Variant 110
Doctor Doom Variant 111,Brainiac Variant 111
Galactus Variant 112,Sinestro Variant 112
Silver Surfer Variant 113,Reverse Flash Variant 113
Jean Grey Variant 114,Blue Beetle Variant 114
Storm Variant 115,Booster Gold Variant 115
Cyclops Variant 116,Swamp Thing Variant 116
Rogue Variant 117,Batman Variant 117
Gambit Variant 118,Superman Variant 118
Nightcrawler Variant 119,Wonder Woman Variant 119
Colossus Variant 120,Flash Variant 120
Beast Variant 121,Aquaman Variant 121
Iceman Variant 122,Green Lantern Variant 122
Emma Frost Variant 123,Cyborg Variant 123
Mystique Variant 124,Nightwing Variant 124
Sabretooth Variant 125,Batgirl Variant 125
Juggernaut Variant 126,Robin Variant 126
Apocalypse Variant 127,Joker Variant 127
Mr Fantastic Variant 128,Harley Quinn Variant 128
Invisible Woman Variant 129,Lex Luthor Variant 129
Human Torch Variant 130,Darkseid Variant 130
Thing Variant 131,Doomsday Variant 131
Namor Variant 132,Deathstroke Variant 132
Moon Knight Variant 133,Raven Variant 133
Blade Variant 134,Starfire Variant 134
Spider-Man Variant 135,Beast Boy Variant 135
Iron Man Variant 136,Constantine Variant 136
Captain America Variant 137,Shazam Variant 137
Thor Variant 138,Black Adam Variant 138
Hulk Variant 139,Green Arrow Variant 139
Wolverine Variant 140,Hawkgirl Variant 140
Deadpool Variant 141,Martian Manhunter Variant 141
Black Panther Variant 142,Supergirl Variant 142
Doctor Strange Variant 143,Zatanna Variant 143
Scarlet Witch Variant 144,Bane Variant 144
Captain Marvel Variant 145,Scarecrow Variant 145
Daredevil Variant 146,Penguin Variant 146
Punisher Variant 147,Two-Face Variant 147
Ghost Rider Variant 148,Riddler Variant 148
Venom Variant 149,Poison Ivy Variant 149
Carnage Variant 150,Brainiac Variant 150
Magneto Variant 151,Sinestro Variant 151
Loki Variant 152,Reverse Flash Variant 152
Thanos Variant 153,Blue Beetle Variant 153
Ultron Variant 154,Booster Gold Variant 154
Green Goblin Variant 155,Swamp Thing Variant 155
Doctor Doom Variant 156,Batman Variant 156
Galactus Variant 157,Superman Variant 157
Silver Surfer Variant 158,Wonder Woman Variant 158
Jean Grey Variant 159,Flash Variant 159
Storm Variant 160,Aquaman Variant 160
Cyclops Variant 161,Green Lantern Variant 161
Rogue Variant 162,Cyborg Variant 162
Gambit Variant 163,Nightwing Variant 163
Nightcrawler Variant 164,Batgirl Variant 164
Colossus Variant 165,Robin Variant 165
Beast Variant 166,Joker Variant 166
Iceman Variant 167,Harley Quinn Variant 167
Emma Frost Variant 168,Lex Luthor Variant 168
Mystique Variant 169,Darkseid Variant 169
Sabretooth Variant 170,Doomsday Variant 170
Juggernaut Variant 171,Deathstroke Variant 171
Apocalypse Variant 172,Raven Variant 172
Mr Fantastic Variant 173,Starfire Variant 173
Invisible Woman Variant 174,Beast Boy Variant 174
Human Torch Variant 175,Constantine Variant 175
Thing Variant 176,Shazam Variant 176
Namor Variant 177,Black Adam Variant 177
Moon Knight Variant 178,Green Arrow Variant 178
Blade Variant 179,Hawkgirl Variant 179
Spider-Man Variant 180,Martian Manhunter Variant 180
Iron Man Variant 181,Supergirl Variant 181
Captain America Variant 182,Zatanna Variant 182
Thor Variant 183,Bane Variant 183
Hulk Variant 184,Scarecrow Variant 184
Wolverine Variant 185,Penguin Variant 185
Deadpool Variant 186,Two-Face Variant 186
Black Panther Variant 187,Riddler Variant 187
Doctor Strange Variant 188,Poison Ivy Variant 188
Scarlet Witch Variant 189,Brainiac Variant 189
Captain Marvel Variant 190,Sinestro Variant 190
Daredevil Variant 191,Reverse Flash Variant 191
Punisher Variant 192,Blue Beetle Variant 192
Ghost Rider Variant 193,Booster Gold Variant 193
Venom Variant 194,Swamp Thing Variant 194
Carnage Variant 195,Batman Variant 195
Magneto Variant 196,Superman Variant 196
Loki Variant 197,Wonder Woman Variant 197
Thanos Variant 198,Flash Variant 198
Ultron Variant 199,Aquaman Variant 199
Green Goblin Variant 200,Green Lantern Variant 200
Doctor Doom Variant 201,Cyborg Variant 201
Galactus Variant 202,Nightwing Variant 202
Silver Surfer Variant 203,Batgirl Variant 203
Jean Grey Variant 204,Robin Variant 204
Storm Variant 205,Joker Variant 205
Cyclops Variant 206,Harley Quinn Variant 206
Rogue Variant 207,Lex Luthor Variant 207
Gambit Variant 208,Darkseid Variant 208
Nightcrawler Variant 209,Doomsday Variant 209
Colossus Variant 210,Deathstroke Variant 210
Beast Variant 211,Raven Variant 211
Iceman Variant 212,Starfire Variant 212
Emma Frost Variant 213,Beast Boy Variant 213
Mystique Variant 214,Constantine Variant 214
Sabretooth Variant 215,Shazam Variant 215
Juggernaut Variant 216,Black Adam Variant 216
Apocalypse Variant 217,Green Arrow Variant 217
Mr Fantastic Variant 218,Hawkgirl Variant 218
Invisible Woman Variant 219,Martian Manhunter Variant 219
Human Torch Variant 220,Supergirl Variant 220
Thing Variant 221,Zatanna Variant 221
Namor Variant 222,Bane Variant 222
Moon Knight Variant 223,Scarecrow Variant 223
Blade Variant 224,Penguin Variant 224
Spider-Man Variant 225,Two-Face Variant 225
Iron Man Variant 226,Riddler Variant 226
Captain America Variant 227,Poison Ivy Variant 227
Thor Variant 228,Brainiac Variant 228
Hulk Variant 229,Sinestro Variant 229
Wolverine Variant 230,Reverse Flash Variant 230
Deadpool Variant 231,Blue Beetle Variant 231
