Character,Universe,Status
"Garou (Monster)","Anime",missing_from_roster
"Genos (Upgrade)","Anime",missing_from_roster
"Gon (Adult Form)","Anime",missing_from_roster
"Hisoka","Anime",missing_from_roster
"Ichigo (Bankai)","Anime",missing_from_roster
"Jiren (Full Power)","Anime",missing_from_roster
"Jogo","Anime",missing_from_roster
"Kaido (Hybrid)","Anime",missing_from_roster
"Kakashi (DMS)","Anime",missing_from_roster
"Kenpachi (Bankai)","Anime",missing_from_roster
"Kokushibo (Upper Moon 1)","Anime",missing_from_roster
"Kurapika","Anime",missing_from_roster
"Levi (Prime)","Anime",missing_from_roster
"Madara (Ten Tails)","Anime",missing_from_roster
"Mahito","Anime",missing_from_roster
"Megumi Fushiguro","Anime",missing_from_roster
"Mikasa (Ackerman)","Anime",missing_from_roster
"Obito (Ten Tails)","Anime",missing_from_roster
"Reiner Braun","Anime",missing_from_roster
"Saitama (Serious Punch)","Anime",missing_from_roster
"Sanji (Ifrit Jambe)","Anime",missing_from_roster
"Shanks (Haki Master)","Anime",missing_from_roster
"Tanjiro (Demon King)","Anime",missing_from_roster
"Whis (Angel)","Anime",missing_from_roster
"Whitebeard (Prime)","Anime",missing_from_roster
"Yuji Itadori","Anime",missing_from_roster
"Zeke Yeager","Anime",missing_from_roster
"Zoro (Enma)","Anime",missing_from_roster
"Billy","Cartoon Network",missing_from_roster
"Edd","Cartoon Network",missing_from_roster
"Eddy","Cartoon Network",missing_from_roster
"Grim","Cartoon Network",missing_from_roster
"Gwen Tennyson","Cartoon Network",missing_from_roster
"HIM","Cartoon Network",missing_from_roster
"Kevin Levin","Cartoon Network",missing_from_roster
"Mandark","Cartoon Network",missing_from_roster
"Mandy","Cartoon Network",missing_from_roster
"Mojo Jojo","Cartoon Network",missing_from_roster
"Muriel Bagge","Cartoon Network",missing_from_roster
"Numbuh Five","Cartoon Network",missing_from_roster
"Numbuh One","Cartoon Network",missing_from_roster
"Powerpuff Girls","Cartoon Network",missing_from_roster
"Vilgax","Cartoon Network",missing_from_roster
"Flash (Wally West Full Speed)","Comics",missing_from_roster
"Galactus (Lifebringer)","Comics",missing_from_roster
"Green Lantern (White Lantern)","Comics",missing_from_roster
"Infinity","Comics",missing_from_roster
"Knull (King in Black)","Comics",missing_from_roster
"Living Tribunal (Cosmic)","Comics",missing_from_roster
"Lucifer Morningstar (DC)","Comics",missing_from_roster
"Martian Manhunter (Full Power)","Comics",missing_from_roster
"Michael Demiurgos (DC)","Comics",missing_from_roster
"Scarlet Witch (House of M)","Comics",missing_from_roster
"Sentry (Void)","Comics",missing_from_roster
"Shazam (Full Power)","Comics",missing_from_roster
"Silver Surfer (Power Cosmic)","Comics",missing_from_roster
"Thanos (Astral Regulator)","Comics",missing_from_roster
"The Beyonder (Secret Wars)","Comics",missing_from_roster
"The Presence (DC)","Comics",missing_from_roster
"The Spectre (Full Power)","Comics",missing_from_roster
"Wonder Woman (God Mode)","Comics",missing_from_roster
"The Presence (True Form)","DC",missing_from_roster
"Te K■■","Disney",missing_from_roster
"The Doctor","Doctor Who",missing_from_roster
"The Master","Doctor Who",missing_from_roster
"The Silence","Doctor Who",missing_from_roster
"Herbert","Family Guy",missing_from_roster
"Joe Swanson","Family Guy",missing_from_roster
"Lois Griffin","Family Guy",missing_from_roster
"Meg Griffin","Family Guy",missing_from_roster
"Peter Griffin","Family Guy",missing_from_roster
"Quagmire","Family Guy",missing_from_roster
"Stewie Griffin","Family Guy",missing_from_roster
"Fry","Futurama",missing_from_roster
"Leela","Futurama",missing_from_roster
"Professor Farnsworth","Futurama",missing_from_roster
"Zoidberg","Futurama",missing_from_roster
"G-Man","Half-Life",missing_from_roster
"Five Nights Bonnie","Horror",missing_from_roster
"Five Nights Chica","Horror",missing_from_roster
"Five Nights Foxy","Horror",missing_from_roster
"Five Nights Freddy","Horror",missing_from_roster
"Frankenstein's Monster","Horror",missing_from_roster
